County,TrumpTot,BidenTot,Total,Trump,Biden,Margin
12L,18,268,287,6%,93%,87%
12M,69,1312,1397,5%,94%,89%
12N,18,402,425,4%,95%,90%
12S,40,996,1045,4%,95%,91%
AP01A,1864,2195,4109,45%,53%,8%
AP01B,400,486,907,44%,54%,9%
AP01C,879,978,1894,46%,52%,5%
AP01D,278,392,689,40%,57%,17%
AP021,1266,1291,2595,49%,50%,1%
AP022,778,1000,1796,43%,56%,12%
AP02B,203,280,489,42%,57%,16%
AP03,101,325,430,23%,76%,52%
AP04A,764,658,1452,53%,45%,-7%
AP04B,205,193,403,51%,48%,-3%
AP05,1857,1927,3822,49%,50%,2%
AP06,888,694,1602,55%,43%,-12%
AP07A,1370,1464,2871,48%,51%,3%
AP07B,755,768,1534,49%,50%,1%
AP09A,1508,1933,3486,43%,55%,12%
AP09B,238,453,706,34%,64%,30%
AP10,476,343,833,57%,41%,-16%
AP12A,185,320,511,36%,63%,26%
AP12B,201,406,616,33%,66%,33%
AP12C,955,792,1761,54%,45%,-9%
AP14,1161,1419,2616,44%,54%,10%
CH01,61,150,215,28%,70%,41%
CH02,151,96,250,60%,38%,-22%
CH03,208,98,309,67%,32%,-36%
CH04A,321,345,673,48%,51%,4%
CH05,240,90,333,72%,27%,-45%
CP011,143,610,771,19%,79%,61%
CP012,143,786,943,15%,83%,68%
CP01B,64,188,258,25%,73%,48%
CP02,80,586,679,12%,86%,75%
CP04A,2,2,4,50%,50%,0%
CP04B,3,16,19,16%,84%,68%
CP051,43,921,971,4%,95%,90%
CP05B,5,72,77,6%,94%,87%
CP06A,14,214,234,6%,91%,85%
CP07B,1,3,4,25%,75%,50%
CP07C,1,71,73,1%,97%,96%
CP07D,11,225,241,5%,93%,89%
CP07E,1,41,42,2%,98%,95%
CP07F,3,61,64,5%,95%,91%
CP081,7,106,114,6%,93%,87%
CP083,0,36,37,0%,97%,97%
CP084,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!
CP08A,6,177,184,3%,96%,93%
EP01A,168,1462,1650,10%,89%,78%
EP01B,146,1591,1755,8%,91%,82%
EP02A,70,1042,1114,6%,94%,87%
EP02B,154,982,1149,13%,85%,72%
EP02C,48,261,314,15%,83%,68%
EP02D,12,233,246,5%,95%,90%
EP02E,52,697,763,7%,91%,85%
EP03A,178,2674,2876,6%,93%,87%
EP03B,61,1020,1088,6%,94%,88%
EP04A,104,2550,2675,4%,95%,91%
EP04B,57,1490,1555,4%,96%,92%
EP04C,16,441,458,3%,96%,93%
FA01A,300,2223,2541,12%,87%,76%
FA01B,345,3087,3455,10%,89%,79%
FA01C,32,445,486,7%,92%,85%
FA01D,16,159,176,9%,90%,81%
FC01,10,175,186,5%,94%,89%
FC02,14,46,60,23%,77%,53%
FC03,1,16,17,6%,94%,88%
HP01,556,1622,2204,25%,74%,48%
JC01,1197,2238,3462,35%,65%,30%
JC01A,376,664,1044,36%,64%,28%
JC02,897,1306,2220,40%,59%,18%
JC03A,198,283,486,41%,58%,17%
JC03B,445,777,1243,36%,63%,27%
JC04A,1070,1522,2612,41%,58%,17%
JC04B,80,149,230,35%,65%,30%
JC04C,361,596,978,37%,61%,24%
JC05,700,1054,1783,39%,59%,20%
JC06,967,1094,2084,46%,52%,6%
JC07,1403,2145,3586,39%,60%,21%
JC08,1013,1267,2308,44%,55%,11%
JC09,947,1426,2404,39%,59%,20%
JC10,725,1246,1998,36%,62%,26%
JC11,1364,1314,2711,50%,48%,-2%
JC12,1328,907,2261,59%,40%,-19%
JC13A,1067,768,1848,58%,42%,-16%
JC13B,156,76,235,66%,32%,-34%
JC14,1040,1042,2103,49%,50%,0%
JC15,266,430,706,38%,61%,23%
JC16,976,1108,2111,46%,52%,6%
JC18,1151,1146,2331,49%,49%,0%
JC19,1362,1794,3215,42%,56%,13%
ML01A,1236,1078,2352,53%,46%,-7%
ML01B,346,206,559,62%,37%,-25%
ML02A,1397,679,2104,66%,32%,-34%
ML02B,960,568,1554,62%,37%,-25%
ML03,1902,1114,3051,62%,37%,-26%
ML03A,146,64,211,69%,30%,-39%
ML04,1576,1075,2680,59%,40%,-19%
ML05,1794,1869,3695,49%,51%,2%
ML06A,446,939,1403,32%,67%,35%
ML06B,774,1431,2233,35%,64%,29%
ML07A,411,235,655,63%,36%,-27%
ML07B,841,476,1332,63%,36%,-27%
MP01,180,189,376,48%,50%,2%
PA01,411,1393,1830,22%,76%,54%
RW01,2276,1928,4254,54%,45%,-8%
RW02,1523,1737,3330,46%,52%,6%
RW03,1347,2038,3429,39%,59%,20%
RW04,650,883,1553,42%,57%,15%
RW05,615,1220,1863,33%,65%,32%
RW06,934,1335,2312,40%,58%,17%
RW07A,145,754,914,16%,82%,67%
RW07B,74,203,286,26%,71%,45%
RW08,1008,823,1857,54%,44%,-10%
RW09,2229,1641,3922,57%,42%,-15%
RW09A,802,491,1312,61%,37%,-24%
RW10,1599,1347,3001,53%,45%,-8%
RW11A,900,1154,2080,43%,55%,12%
RW12,1849,1723,3621,51%,48%,-3%
RW12A,818,724,1564,52%,46%,-6%
RW13,1329,1583,2969,45%,53%,9%
RW16,856,804,1685,51%,48%,-3%
RW17,765,1351,2169,35%,62%,27%
RW19,950,801,1781,53%,45%,-8%
RW20,1045,1119,2193,48%,51%,3%
RW21,1420,1186,2647,54%,45%,-9%
RW22A,1100,2040,3190,34%,64%,29%
SC01A,3,50,53,6%,94%,89%
SC01B,49,1557,1613,3%,97%,93%
SC01C,60,1599,1670,4%,96%,92%
SC02,33,1031,1069,3%,96%,93%
SC04,208,527,742,28%,71%,43%
SC05A,16,458,477,3%,96%,93%
SC05B,93,2443,2552,4%,96%,92%
SC05D,80,1829,1918,4%,95%,91%
SC05E,74,399,476,16%,84%,68%
SC07A,365,3028,3419,11%,89%,78%
SC07C,1,11,13,8%,85%,77%
SC07D,48,1060,1118,4%,95%,91%
SC08B,124,2442,2586,5%,94%,90%
SC08C,0,71,71,0%,100%,100%
SC08D,11,345,361,3%,96%,93%
SC08E,17,413,439,4%,94%,90%
SC08F,14,420,438,3%,96%,93%
SC08G,0,3,3,0%,100%,100%
SC08H,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!
SC09A,46,943,998,5%,94%,90%
SC09B,46,1202,1259,4%,95%,92%
SC09C,54,998,1064,5%,94%,89%
SC10,49,768,822,6%,93%,87%
SC11A,44,960,1009,4%,95%,91%
SC11B,51,959,1018,5%,94%,89%
SC13,115,1904,2030,6%,94%,88%
SC14A,32,474,512,6%,93%,86%
SC15,176,3049,3243,5%,94%,89%
SC15A,40,1546,1589,3%,97%,95%
SC16A,108,3600,3725,3%,97%,94%
SC17A,1,43,44,2%,98%,95%
SC17B,1,4,5,20%,80%,60%
SC17C,45,732,785,6%,93%,88%
SC18A,13,380,396,3%,96%,93%
SC18B,24,654,681,4%,96%,93%
SC18C,72,1507,1584,5%,95%,91%
SC19A,7,134,142,5%,94%,89%
SC19B,37,786,831,4%,95%,90%
SC20,55,1964,2033,3%,97%,94%
SC211,62,1212,1283,5%,94%,90%
SC212,176,2537,2745,6%,92%,86%
SC23A,90,2085,2192,4%,95%,91%
SC23B,22,334,358,6%,93%,87%
SC23C,68,1467,1542,4%,95%,91%
SC27,62,1342,1414,4%,95%,91%
SC29A,74,1776,1866,4%,95%,91%
SC30A,7,114,122,6%,93%,88%
SC30B,22,575,603,4%,95%,92%
SS01,2038,1807,3896,52%,46%,-6%
SS02A,331,564,915,36%,62%,25%
SS02B,231,684,929,25%,74%,49%
SS03,473,741,1234,38%,60%,22%
SS04,895,1799,2730,33%,66%,33%
SS05,692,864,1580,44%,55%,11%
SS06,625,776,1417,44%,55%,11%
SS07A,471,527,1006,47%,52%,6%
SS07B,195,370,569,34%,65%,31%
SS07C,230,299,539,43%,55%,13%
SS08A,381,911,1318,29%,69%,40%
SS08B,252,308,563,45%,55%,10%
SS08C,152,345,504,30%,68%,38%
SS08D,310,717,1043,30%,69%,39%
SS09A,1273,1300,2607,49%,50%,1%
SS09B,1399,1545,2969,47%,52%,5%
SS11A,936,1785,2768,34%,64%,31%
SS11B,235,655,900,26%,73%,47%
SS11C,33,161,199,17%,81%,64%
SS11D,145,172,325,45%,53%,8%
SS12,942,1302,2264,42%,58%,16%
SS13A,653,855,1530,43%,56%,13%
SS13B,368,541,923,40%,59%,19%
SS14,665,500,1177,56%,42%,-14%
SS15A,238,1273,1529,16%,83%,68%
SS15B,344,756,1126,31%,67%,37%
SS16,833,905,1770,47%,51%,4%
SS17,1253,1471,2748,46%,54%,8%
SS18A,247,297,551,45%,54%,9%
SS18B,99,100,200,50%,50%,1%
SS19A,494,1530,2064,24%,74%,50%
SS19B,443,1222,1693,26%,72%,46%
SS20,449,1059,1531,29%,69%,40%
SS22,691,1082,1792,39%,60%,22%
SS26,382,1791,2214,17%,81%,64%
SS29A,729,1316,2070,35%,64%,28%
SS31,504,777,1299,39%,60%,21%
UC01A,120,1859,1997,6%,93%,87%
UC01B,13,216,231,6%,94%,88%
UC01D,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!
UC01E,19,374,395,5%,95%,90%
UC02A,181,3648,3849,5%,95%,90%
UC02B,5,15,20,25%,75%,50%
UC02C,119,1493,1629,7%,92%,84%
UC031,265,1223,1505,18%,81%,64%
UC032,37,230,270,14%,85%,71%
