GEOID,County,Donald J. Trump,Joe R. Biden,Jo Jorgensen,Don_Per,Joe_Per,Don_MOV,Joe_MOV,Total_Pres,David A. Purdue,Jon Ossoff,Pur_Per,Oss_Per,Pur_MOV,Oss_MOV,Total_Sen1,Kelly Loeffler,Raphael Warnock,Others,Loe_Per,War_Per,Loe_MOV,War_MOV,Total_Sen2
13287,Turner,2349,1410,33,61.94,37.18,24.759999999999998,-24.759999999999998,3792,2334,1345,62.38,35.95,26.43,-26.43,3741,1310,866,1541.0,35.24,23.29,11.950000000000003,-11.950000000000003,3717
13289,Twiggs,2370,2044,30,53.33,45.99,7.339999999999996,-7.339999999999996,4444,2313,1981,52.79,45.21,7.579999999999998,-7.579999999999998,4381,1271,1508,1565.0,29.25,34.71,-5.460000000000001,5.460000000000001,4344
13291,Union,12651,2801,108,81.3,18.0,63.3,-63.3,15560,12423,2616,80.78,17.01,63.769999999999996,-63.769999999999996,15378,3945,1904,9513.0,25.68,12.39,13.29,-13.29,15362
13293,Upson,8608,4201,96,66.7,32.55,34.150000000000006,-34.150000000000006,12905,8568,4000,67.02,31.28,35.739999999999995,-35.739999999999995,12784,4239,3079,5405.0,33.31,24.2,9.110000000000003,-9.110000000000003,12723
13295,Walker,23174,5769,411,78.94,19.65,59.29,-59.29,29354,22650,5435,78.18,18.76,59.42,-59.42,28968,12258,2113,14165.0,42.95,7.4,35.550000000000004,-35.550000000000004,28536
13297,Walton,37842,12682,571,74.06,24.82,49.24,-49.24,51095,37399,12146,73.71,23.93,49.779999999999994,-49.779999999999994,50738,22813,8443,19152.0,45.25,16.74,28.51,-28.51,50408
13299,Ware,9865,4211,116,69.51,29.67,39.84,-39.84,14192,9773,3937,69.91,28.16,41.75,-41.75,13979,3295,1748,8705.0,23.96,12.71,11.25,-11.25,13748
13301,Warren,1166,1469,16,43.98,55.41,-11.43,11.43,2651,1161,1407,44.41,53.82,-9.410000000000004,9.410000000000004,2614,631,817,1136.0,24.41,31.61,-7.199999999999999,7.199999999999999,2584
13303,Washington,4663,4730,66,49.29,50.0,-0.7100000000000009,0.7100000000000009,9459,4630,4477,49.89,48.24,1.6499999999999986,-1.6499999999999986,9279,2376,3046,3775.0,25.83,33.11,-7.280000000000001,7.280000000000001,9197
13305,Wayne,9987,2687,104,78.15,21.02,57.13000000000001,-57.13000000000001,12778,9734,2655,77.05,21.01,56.03999999999999,-56.03999999999999,12633,4791,1660,6022.0,38.41,13.3,25.109999999999996,-25.109999999999996,12473
13307,Webster,748,639,3,53.81,45.97,7.840000000000003,-7.840000000000003,1390,736,626,53.64,45.62,8.020000000000003,-8.020000000000003,1372,324,443,592.0,23.84,32.59,-8.750000000000004,8.750000000000004,1359
13309,Wheeler,1583,689,13,69.27,30.15,39.12,-39.12,2285,1562,657,69.29,29.14,40.150000000000006,-40.150000000000006,2254,688,460,1080.0,30.87,20.64,10.23,-10.23,2228
13311,White,12222,2411,183,82.49,16.27,66.22,-66.22,14816,12072,2273,82.03,15.44,66.59,-66.59,14716,4033,1604,9009.0,27.53,10.95,16.580000000000002,-16.580000000000002,14646
13313,Whitfield,25636,10670,440,69.76,29.03,40.730000000000004,-40.730000000000004,36746,25158,10177,69.31,28.03,41.28,-41.28,36297,12905,3876,18812.0,36.25,10.88,25.369999999999997,-25.369999999999997,35593
13315,Wilcox,2403,862,16,73.23,26.27,46.96000000000001,-46.96000000000001,3281,2369,805,73.34,24.92,48.42,-48.42,3230,1155,538,1525.0,35.89,16.71,19.18,-19.18,3218
13317,Wilkes,2823,2160,46,56.13,42.95,13.18,-13.18,5029,2810,2057,56.82,41.59,15.229999999999997,-15.229999999999997,4945,1493,1257,2155.0,30.43,25.62,4.809999999999999,-4.809999999999999,4905
13319,Wilkinson,2664,2075,31,55.84,43.5,12.340000000000003,-12.340000000000003,4770,2608,2017,55.44,42.87,12.57,-12.57,4704,1407,1539,1743.0,30.0,32.82,-2.8200000000000003,2.8200000000000003,4689
13321,Worth,6830,2395,60,73.55,25.79,47.76,-47.76,9285,6726,2327,73.02,25.26,47.75999999999999,-47.75999999999999,9210,3541,1589,3999.0,38.78,17.4,21.380000000000003,-21.380000000000003,9129
