GEOID,County,Donald J. Trump,Joe R. Biden,Jo Jorgensen,Don_Per,Joe_Per,Don_MOV,Joe_MOV,Total_Pres,David A. Purdue,Jon Ossoff,Pur_Per,Oss_Per,Pur_MOV,Oss_MOV,Total_Sen1,Kelly Loeffler,Raphael Warnock,Others,Loe_Per,War_Per,Loe_MOV,War_MOV,Total_Sen2
13137,Habersham,16637,3563,232,81.42,17.43,63.99,-63.99,20432,16385,3340,80.87,16.48,64.39,-64.39,20259,5371,2133,12618.0,26.69,10.6,16.090000000000003,-16.090000000000003,20122
13139,Hall,64170,25031,1322,70.88,27.65,43.23,-43.23,90523,63833,23487,71.09,26.15,44.940000000000005,-44.940000000000005,89787,21965,14889,52641.0,24.54,16.63,7.91,-7.91,89495
13141,Hancock,1159,2985,21,27.82,71.66,-43.839999999999996,43.839999999999996,4165,1173,2858,28.63,69.75,-41.120000000000005,41.120000000000005,4097,608,2129,1352.0,14.86,52.06,-37.2,37.2,4089
13143,Haralson,12331,1792,125,86.54,12.57,73.97,-73.97,14248,12016,1764,85.12,12.49,72.63000000000001,-72.63000000000001,14116,6533,1200,6236.0,46.76,8.59,38.17,-38.17,13969
13145,Harris,14319,5457,215,71.62,27.29,44.330000000000005,-44.330000000000005,19991,14279,5192,71.92,26.15,45.77,-45.77,19854,7090,3776,8872.0,35.92,19.13,16.790000000000003,-16.790000000000003,19738
13147,Hart,9464,3157,106,74.36,24.8,49.56,-49.56,12727,9377,2937,74.82,23.43,51.38999999999999,-51.38999999999999,12532,2080,1302,8972.0,16.83,10.53,6.299999999999999,-6.299999999999999,12354
13149,Heard,4516,824,51,83.76,15.28,68.48,-68.48,5391,4413,802,82.82,15.05,67.77,-67.77,5328,2542,592,2113.0,48.44,11.28,37.16,-37.16,5247
13151,Henry,48187,73276,1279,39.25,59.69,-20.439999999999998,20.439999999999998,122742,47486,71592,39.01,58.82,-19.810000000000002,19.810000000000002,121709,26824,49407,45239.0,22.08,40.67,-18.590000000000003,18.590000000000003,121470
13153,Houston,41534,32232,1057,55.5,43.07,12.43,-12.43,74823,41428,30955,55.86,41.73,14.130000000000003,-14.130000000000003,74162,22327,21945,29546.0,30.24,29.72,0.5199999999999996,-0.5199999999999996,73818
13155,Irwin,3134,1008,26,75.19,24.18,51.01,-51.01,4168,3095,982,74.68,23.69,50.99000000000001,-50.99000000000001,4144,1459,606,2028.0,35.64,14.8,20.84,-20.84,4093
13157,Jackson,29497,7642,531,78.3,20.28,58.019999999999996,-58.019999999999996,37670,29166,7262,78.01,19.42,58.59,-58.59,37383,12593,4783,19780.0,33.89,12.87,21.020000000000003,-21.020000000000003,37156
13159,Jasper,5822,1761,61,76.16,23.03,53.129999999999995,-53.129999999999995,7644,5751,1690,75.75,22.26,53.489999999999995,-53.489999999999995,7592,3246,1218,3073.0,43.06,16.16,26.900000000000002,-26.900000000000002,7537
13161,Jeff Davis,4695,1028,48,81.35,17.81,63.53999999999999,-63.53999999999999,5771,4574,1013,80.27,17.77,62.5,-62.5,5698,1719,590,3294.0,30.67,10.53,20.14,-20.14,5603
13163,Jefferson,3537,4061,44,46.28,53.14,-6.859999999999999,6.859999999999999,7642,3539,3913,46.84,51.8,-4.959999999999994,4.959999999999994,7554,1847,2487,3128.0,24.75,33.32,-8.57,8.57,7462
13165,Jenkins,2161,1266,28,62.54,36.64,25.9,-25.9,3455,2155,1194,63.38,35.11,28.270000000000003,-28.270000000000003,3400,1104,806,1456.0,32.79,23.94,8.849999999999998,-8.849999999999998,3366
13167,Johnson,2850,1222,28,69.51,29.8,39.71000000000001,-39.71000000000001,4100,2801,1158,69.43,28.7,40.730000000000004,-40.730000000000004,4034,1376,763,1822.0,34.73,19.26,15.469999999999995,-15.469999999999995,3961
13169,Jones,9965,4888,113,66.58,32.66,33.92,-33.92,14966,9854,4687,66.39,31.57,34.82,-34.82,14842,5397,3496,5861.0,36.57,23.69,12.879999999999999,-12.879999999999999,14754
