county_name,county_fips,state_name,state_code,winner_202,margin_2020,margin_trump_2016,margin_obama_2012,margin_obama_2008
Essex,50009,Vermont,VT,Trump,11.19,16.65,13.4,14.48
Buckingham,51029,Virginia,VA,Trump,13.2,11.28,2.43,0.87
Caroline,51033,Virginia,VA,Trump,4.17,5.02,8.24,11.97
Essex,51057,Virginia,VA,Trump,0.6,2.14,7.3,10.35
Nelson,51125,Virginia,VA,Trump,5.21,5.59,2.72,9.15
Westmoreland,51193,Virginia,VA,Trump,8.23,7.14,6.95,10.24
Clallam,53009,Washington,WA,Biden,3.35,2.76,0.38,3.3
Cowlitz,53015,Washington,WA,Trump,17.34,13.32,4.44,11.15
Grays Harbor,53027,Washington,WA,Trump,6.37,6.99,14.11,14.56
Mason,53045,Washington,WA,Trump,3.82,5.81,7.09,8.66
Pacific,53049,Washington,WA,Trump,1.1,6.74,11.52,14.07
Adams,55001,Wisconsin,WI,Trump,25.66,21.92,8.73,18.35
Buffalo,55011,Wisconsin,WI,Trump,25.28,21.82,2.93,14.66
Columbia,55021,Wisconsin,WI,Trump,1.53,2.14,13.58,15.26
Crawford,55023,Wisconsin,WI,Trump,7.67,5.4,19.98,27.03
Door,55029,Wisconsin,WI,Biden,1.45,3.22,6.99,17.33
Dunn,55033,Wisconsin,WI,Trump,13.88,11.09,4.97,14.95
Forest,55041,Wisconsin,WI,Trump,30.98,26.58,5.44,15.16
Grant,55043,Wisconsin,WI,Trump,11.98,9.43,13.77,23.88
Jackson,55053,Wisconsin,WI,Trump,15.07,11.74,15.01,21.84
Juneau,55057,Wisconsin,WI,Trump,29.21,26.05,7.03,9
Kenosha,55059,Wisconsin,WI,Trump,3.14,0.31,12.23,18.06
Lafayette,55065,Wisconsin,WI,Trump,13.7,8.99,15.37,22.32
Lincoln,55069,Wisconsin,WI,Trump,22.74,20.6,0.71,12.48
Marquette,55077,Wisconsin,WI,Trump,27.36,24.09,0.27,5.28
Pepin,55091,Wisconsin,WI,Trump,26.45,23.08,2.22,12.89
Price,55099,Wisconsin,WI,Trump,26.17,25,0.04,13.4
Racine,55101,Wisconsin,WI,Trump,4.06,4.28,3.54,7.41
Richland,55103,Wisconsin,WI,Trump,10.36,5.5,16.13,20.63
Sauk,55111,Wisconsin,WI,Biden,1.69,0.35,18.47,23.04
Sawyer,55113,Wisconsin,WI,Trump,13.26,18.41,0.49,6.23
Trempealeau,55121,Wisconsin,WI,Trump,16.57,12.64,14.08,26.39
Vernon,55123,Wisconsin,WI,Trump,4.77,4.43,14.73,22
Winnebago,55139,Wisconsin,WI,Trump,3.97,7.34,3.73,11.66
St. Lucie,12111,Florida,FL,Trump,1.56,2.4,7.86,12.12
La Porte,18091,Indiana,IN,Trump,7.22,6.33,12.57,22.04
St. Lawrence,36089,New York,NY,Trump,24.79,8.82,16.71,16.33
