dayToElection,ev2020,ev2021
16,218320,214080
15,234174,213456
14,45562,19900
13,155009,23932
12,217685,742
11,208233,19645
10,218088,178498
9,221138,190157
8,240645,211696
7,46154,32126
6,91903,91936
5,232234,217434
4,233427,208313
3,202788,209619
2,195684,227910
1,183477,240583
