UniqueID,County,Precinct,Donald J. Trump,Joe R. Biden,Jo Jorgensen,Don_Per,Joe_Per,Don_MOV,Joe_MOV,Total_Pres,David A. Purdue,Jon Ossoff,Pur_Per,Oss_Per,Pur_MOV,Oss_MOV,Total_Sen1,Kelly Loeffler,Raphael Warnock,Loe_Per,War_Per,Loe_MOV,War_MOV,Others,Total_Sen2
"Appling,1B",Appling,1B,870,116,7,87.61,11.68,75.93,-75.93,993,828,134,84.66,13.7,70.96,-70.96,978,271,72,27.79,7.38,20.41,-20.41,632,975
"Appling,1C",Appling,1C,594,44,2,92.81,6.87,85.94,-85.94,640,579,44,92.05,6.99,85.06,-85.06,629,141,27,22.59,4.32,18.27,-18.27,456,624
"Appling,2",Appling,2,531,908,9,36.67,62.7,-26.03,26.03,1448,514,864,36.45,61.27,-24.82,24.82,1410,145,559,10.24,39.5,-29.26,29.26,711,1415
"Appling,3A1",Appling,3A1,587,20,4,96.07,3.27,92.8,-92.8,611,570,25,95,4.16,90.84,-90.84,600,179,12,29.98,2.01,27.97,-27.97,406,597
"Appling,3C",Appling,3C,843,288,4,74.27,25.37,48.9,-48.9,1135,819,281,72.99,25.04,47.95,-47.95,1122,191,156,17.22,14.06,3.16,-3.16,762,1109
"Appling,4B",Appling,4B,647,23,2,96.27,3.42,92.85,-92.85,672,639,25,95.94,3.75,92.19,-92.19,666,241,12,36.29,1.8,34.49,-34.49,411,664
"Appling,4D",Appling,4D,1048,130,1,88.88,11.02,77.86,-77.86,1179,1021,129,87.63,11.07,76.56,-76.56,1165,261,72,22.67,6.25,16.42,-16.42,818,1151
"Appling,5A",Appling,5A,697,118,5,85,14.39,70.61,-70.61,820,660,115,83.33,14.52,68.81,-68.81,792,170,65,21.25,8.12,13.13,-13.13,565,800
"Appling,5B",Appling,5B,709,132,2,84.1,15.65,68.45,-68.45,843,676,136,81.93,16.48,65.45,-65.45,825,208,76,25.24,9.22,16.02,-16.02,540,824
"Atkinson,Pearson County",Atkinson,Pearson County,1026,160,11,85.71,13.36,72.35,-72.35,1197,1008,164,85.06,13.83,71.23,-71.23,1185,442,74,38.6,6.46,32.14,-32.14,629,1145
