UniqueID,County,Precinct,Donald J. Trump,Joe R. Biden,Jo Jorgensen,Don_Per,Joe_Per,Don_MOV,Joe_MOV,Total_Pres,David A. Purdue,Jon Ossoff,Pur_Per,Oss_Per,Pur_MOV,Oss_MOV,Total_Sen1,Kelly Loeffler,Raphael Warnock,Loe_Per,War_Per,Loe_MOV,War_MOV,Others,Total_Sen2
"Cobb,Harrison 01",Cobb,Harrison 01,1665,816,47,65.86,32.27,33.59,-33.59,2528,1677,776,66.73,30.87,35.86,-35.86,2513,984,559,39.25,22.29,16.96,-16.96,964,2507
"Cobb,Hightower 01",Cobb,Hightower 01,1858,1640,78,51.95,45.86,6.09,-6.09,3576,1947,1515,54.98,42.78,12.2,-12.2,3541,1171,1140,33.34,32.46,0.88,-0.88,1201,3512
"Cobb,Hayes 01",Cobb,Hayes 01,2014,1216,49,61.42,37.08,24.34,-24.34,3279,2040,1160,62.53,35.56,26.97,-26.97,3262,1161,797,35.82,24.59,11.23,-11.23,1283,3241
"Cobb,Kennesaw 1A",Cobb,Kennesaw 1A,750,876,42,44.96,52.51,-7.55,7.55,1668,743,846,44.97,51.21,-6.24,6.24,1652,410,503,24.89,30.54,-5.65,5.65,734,1647
"Cobb,Kennesaw 2A",Cobb,Kennesaw 2A,1329,1379,44,48.29,50.1,-1.81,1.81,2752,1344,1302,49.26,47.72,1.54,-1.54,2728,765,867,28.23,32,-3.77,3.77,1077,2709
"Cobb,Kennesaw 3A",Cobb,Kennesaw 3A,1554,2665,86,36.09,61.9,-25.81,25.81,4305,1540,2575,36.09,60.36,-24.27,24.27,4266,820,1612,19.37,38.09,-18.72,18.72,1800,4232
"Cobb,Kennesaw 4A",Cobb,Kennesaw 4A,1251,1396,52,46.35,51.72,-5.37,5.37,2699,1274,1318,47.69,49.34,-1.65,1.65,2671,711,867,26.53,32.36,-5.83,5.83,1101,2679
"Cobb,Kennesaw 5A",Cobb,Kennesaw 5A,1936,2509,63,42.94,55.65,-12.71,12.71,4508,1954,2404,43.66,53.72,-10.06,10.06,4475,1151,1609,25.95,36.27,-10.32,10.32,1675,4435
"Cobb,Kell 01",Cobb,Kell 01,853,690,44,53.74,43.47,10.27,-10.27,1587,850,668,53.86,42.33,11.53,-11.53,1578,522,477,33.5,30.61,2.89,-2.89,559,1558
"Cobb,Kemp 01",Cobb,Kemp 01,1023,546,28,64.05,34.18,29.87,-29.87,1597,1047,504,65.6,31.57,34.03,-34.03,1596,624,385,39.41,24.32,15.09,-15.09,574,1583
"Cobb,Kemp 02",Cobb,Kemp 02,1765,1429,58,54.27,43.94,10.33,-10.33,3252,1805,1338,56.3,41.73,14.57,-14.57,3206,1036,981,32.4,30.68,1.72,-1.72,1180,3197
"Cobb,Kemp 03",Cobb,Kemp 03,2187,1005,55,67.35,30.95,36.4,-36.4,3247,2230,950,68.97,29.38,39.59,-39.59,3233,1317,722,40.88,22.41,18.47,-18.47,1182,3221
"Cobb,Lassiter 01",Cobb,Lassiter 01,1613,1316,68,53.82,43.91,9.91,-9.91,2997,1694,1219,56.71,40.81,15.9,-15.9,2987,976,865,32.83,29.1,3.73,-3.73,1131,2972
"Cobb,Lindley 01",Cobb,Lindley 01,769,2942,58,20.4,78.05,-57.65,57.65,3769,812,2842,21.73,76.07,-54.34,54.34,3736,448,2130,11.99,57.02,-45.03,45.03,1157,3735
"Cobb,Lost Mountain 01",Cobb,Lost Mountain 01,1711,1259,40,56.84,41.82,15.02,-15.02,3010,1765,1173,58.87,39.12,19.75,-19.75,2998,1025,867,34.37,29.07,5.3,-5.3,1090,2982
"Cobb,Lost Mountain 02",Cobb,Lost Mountain 02,2305,1227,48,64.38,34.27,30.11,-30.11,3580,2377,1118,66.76,31.4,35.36,-35.36,3560,1380,824,39.27,23.44,15.83,-15.83,1310,3514
"Cobb,Lost Mountain 03",Cobb,Lost Mountain 03,2588,1735,67,58.95,39.52,19.43,-19.43,4390,2640,1611,60.73,37.06,23.67,-23.67,4347,1613,1184,37.02,27.17,9.85,-9.85,1560,4357
"Cobb,Lost Mountain 04",Cobb,Lost Mountain 04,1313,794,27,61.52,37.2,24.32,-24.32,2134,1318,763,62.16,35.99,26.17,-26.17,2120,804,572,38.19,27.17,11.02,-11.02,729,2105
"Cobb,Mableton 01",Cobb,Mableton 01,1045,2498,51,29.07,69.5,-40.43,40.43,3594,1013,2450,28.44,68.8,-40.36,40.36,3561,542,1739,15.26,48.97,-33.71,33.71,1270,3551
"Cobb,Mableton 02",Cobb,Mableton 02,534,1416,19,27.12,71.91,-44.79,44.79,1969,525,1378,26.89,70.59,-43.7,43.7,1952,286,840,14.7,43.18,-28.48,28.48,819,1945
"Cobb,Mableton 03",Cobb,Mableton 03,890,1247,30,41.07,57.54,-16.47,16.47,2167,887,1213,41.12,56.23,-15.11,15.11,2157,513,908,23.8,42.13,-18.33,18.33,734,2155
"Cobb,Mableton 04",Cobb,Mableton 04,549,710,23,42.82,55.38,-12.56,12.56,1282,575,674,45.09,52.86,-7.77,7.77,1275,307,488,24.11,38.33,-14.22,14.22,478,1273
"Cobb,Mabry 01",Cobb,Mabry 01,833,538,26,59.62,38.51,21.11,-21.11,1397,879,485,63.28,34.91,28.37,-28.37,1389,518,390,37.48,28.21,9.27,-9.27,474,1382
"Cobb,Macland 01",Cobb,Macland 01,759,2183,30,25.53,73.45,-47.92,47.92,2972,736,2132,25.05,72.59,-47.54,47.54,2937,426,1469,14.45,49.84,-35.39,35.39,1052,2947
"Cobb,Murdock 01",Cobb,Murdock 01,1722,1598,62,50.91,47.25,3.66,-3.66,3382,1825,1463,54.29,43.52,10.77,-10.77,3361,1078,1111,32.24,33.23,-0.99,0.99,1154,3343
"Cobb,McEachern 01",Cobb,McEachern 01,1053,1636,18,38.89,60.43,-21.54,21.54,2707,1039,1602,38.63,59.57,-20.94,20.94,2689,597,1159,22.29,43.27,-20.98,20.98,922,2678
"Cobb,McCleskey 01",Cobb,McCleskey 01,810,609,28,55.97,42.08,13.89,-13.89,1447,832,568,57.89,39.52,18.37,-18.37,1437,485,456,33.75,31.73,2.02,-2.02,496,1437
"Cobb,McClure 01",Cobb,McClure 01,1593,991,51,60.45,37.6,22.85,-22.85,2635,1629,920,62.29,35.18,27.11,-27.11,2615,923,630,35.56,24.27,11.29,-11.29,1042,2595
"Cobb,Marietta 1A",Cobb,Marietta 1A,706,1624,57,29.57,68.03,-38.46,38.46,2387,719,1561,30.4,66,-35.6,35.6,2365,418,1012,17.73,42.93,-25.2,25.2,927,2357
"Cobb,Marietta 2A",Cobb,Marietta 2A,943,755,39,54.28,43.46,10.82,-10.82,1737,975,706,56.42,40.85,15.57,-15.57,1728,595,591,34.27,34.04,0.23,-0.23,550,1736
"Cobb,Marietta 2B",Cobb,Marietta 2B,1145,1921,57,36.66,61.51,-24.85,24.85,3123,1184,1834,38.24,59.23,-20.99,20.99,3096,654,1272,21.11,41.05,-19.94,19.94,1172,3098
"Cobb,Marietta 3A",Cobb,Marietta 3A,1455,1735,55,44.83,53.46,-8.63,8.63,3245,1507,1621,46.75,50.29,-3.54,3.54,3223,851,1222,26.52,38.09,-11.57,11.57,1135,3208
"Cobb,Marietta 3B",Cobb,Marietta 3B,241,1119,8,17.61,81.79,-64.18,64.18,1368,226,1089,16.71,80.54,-63.83,63.83,1352,123,740,9.12,54.89,-45.77,45.77,485,1348
"Cobb,Marietta 4A",Cobb,Marietta 4A,1080,568,39,64.01,33.66,30.35,-30.35,1687,1168,483,69.07,28.56,40.51,-40.51,1691,633,442,37.63,26.27,11.36,-11.36,607,1682
"Cobb,Marietta 4B",Cobb,Marietta 4B,683,831,35,44.09,53.64,-9.55,9.55,1549,732,770,47.4,49.87,-2.47,2.47,1544,404,550,26.37,35.9,-9.53,9.53,578,1532
"Cobb,Marietta 4C",Cobb,Marietta 4C,1294,950,34,56.8,41.7,15.1,-15.1,2278,1362,872,59.86,38.32,21.54,-21.54,2275,760,685,33.43,30.13,3.3,-3.3,828,2273
"Cobb,Marietta 5A",Cobb,Marietta 5A,589,1479,34,28.02,70.36,-42.34,42.34,2102,602,1401,29.04,67.58,-38.54,38.54,2073,349,943,16.88,45.62,-28.74,28.74,775,2067
"Cobb,Marietta 5B",Cobb,Marietta 5B,385,1240,29,23.27,74.96,-51.69,51.69,1654,363,1234,22.14,75.28,-53.14,53.14,1639,205,760,12.51,46.39,-33.88,33.88,673,1638
"Cobb,Marietta 6A",Cobb,Marietta 6A,374,1184,17,23.74,75.17,-51.43,51.43,1575,367,1134,23.58,72.87,-49.29,49.29,1556,190,675,12.21,43.4,-31.19,31.19,690,1555
"Cobb,Marietta 6B",Cobb,Marietta 6B,970,1283,51,42.1,55.68,-13.58,13.58,2304,1015,1204,44.36,52.62,-8.26,8.26,2288,598,914,26.36,40.29,-13.93,13.93,756,2268
"Cobb,Marietta 7A",Cobb,Marietta 7A,359,1461,32,19.38,78.88,-59.5,59.5,1852,341,1414,18.63,77.26,-58.63,58.63,1830,182,879,9.96,48.11,-38.15,38.15,766,1827
"Cobb,Mars Hill 01",Cobb,Mars Hill 01,1983,743,47,71.51,26.79,44.72,-44.72,2773,1975,698,71.81,25.38,46.43,-46.43,2750,1197,478,43.6,17.41,26.19,-26.19,1070,2745
"Cobb,Mars Hill 02",Cobb,Mars Hill 02,1119,943,59,52.75,44.46,8.29,-8.29,2121,1117,898,52.96,42.57,10.39,-10.39,2109,618,617,29.4,29.35,0.05,-0.05,867,2102
"Cobb,Mt Bethel 01",Cobb,Mt Bethel 01,1760,1626,64,51.01,47.13,3.88,-3.88,3450,1935,1443,56.07,41.81,14.26,-14.26,3451,1136,1094,33.23,32,1.23,-1.23,1188,3418
"Cobb,Mt Bethel 03",Cobb,Mt Bethel 03,1299,1344,38,48.45,50.13,-1.68,1.68,2681,1393,1223,52.27,45.89,6.38,-6.38,2665,800,834,30.37,31.66,-1.29,1.29,1000,2634
"Cobb,Mt Bethel 04",Cobb,Mt Bethel 04,1305,1094,42,53.46,44.81,8.65,-8.65,2441,1394,997,57.17,40.89,16.28,-16.28,2438,847,767,35.04,31.73,3.31,-3.31,803,2417
"Cobb,North Cobb 01",Cobb,North Cobb 01,796,864,34,46.98,51,-4.02,4.02,1694,773,845,46.09,50.38,-4.29,4.29,1677,477,579,28.54,34.64,-6.1,6.1,615,1671
"Cobb,Nickajack 01",Cobb,Nickajack 01,781,2706,43,22.12,76.65,-54.53,54.53,3530,815,2596,23.34,74.36,-51.02,51.02,3491,475,1811,13.56,51.72,-38.16,38.16,1215,3501
"Cobb,Norton Park 01",Cobb,Norton Park 01,1142,1980,75,35.72,61.93,-26.21,26.21,3197,1155,1904,36.42,60.04,-23.62,23.62,3171,631,1233,19.96,39.01,-19.05,19.05,1296,3160
"Cobb,Nicholson 01",Cobb,Nicholson 01,969,843,44,52.2,45.42,6.78,-6.78,1856,971,801,52.57,43.36,9.21,-9.21,1847,556,556,30.36,30.36,0,0,719,1831
"Cobb,Oakdale 01",Cobb,Oakdale 01,1130,1891,43,36.87,61.71,-24.84,24.84,3064,1200,1773,39.37,58.16,-18.79,18.79,3048,695,1302,22.83,42.78,-19.95,19.95,1046,3043
"Cobb,Oregon 01",Cobb,Oregon 01,767,567,19,56.68,41.9,14.78,-14.78,1353,769,538,56.92,39.82,17.1,-17.1,1351,480,394,35.76,29.35,6.41,-6.41,468,1342
"Cobb,Oregon 02",Cobb,Oregon 02,989,2812,56,25.64,72.9,-47.26,47.26,3857,959,2746,25.12,71.94,-46.82,46.82,3817,499,1913,13.07,50.11,-37.04,37.04,1405,3817
"Cobb,Oregon 03",Cobb,Oregon 03,868,2274,48,27.21,71.28,-44.07,44.07,3190,834,2197,26.55,69.94,-43.39,43.39,3141,484,1388,15.43,44.26,-28.83,28.83,1264,3136
"Cobb,Oregon 04",Cobb,Oregon 04,895,2325,30,27.53,71.53,-44,44,3250,893,2248,27.82,70.05,-42.23,42.23,3209,485,1572,15.08,48.89,-33.81,33.81,1158,3215
"Cobb,Oregon 05",Cobb,Oregon 05,1217,1835,38,39.38,59.38,-20,20,3090,1233,1770,40.13,57.61,-17.48,17.48,3072,700,1300,22.8,42.34,-19.54,19.54,1070,3070
"Cobb,Pebblebrook 01",Cobb,Pebblebrook 01,629,2673,38,18.83,80.02,-61.19,61.19,3340,585,2622,17.77,79.67,-61.9,61.9,3291,346,1775,10.48,53.77,-43.29,43.29,1180,3301
"Cobb,Powers Ferry 01",Cobb,Powers Ferry 01,1213,1287,62,47.34,50.23,-2.89,2.89,2562,1233,1231,48.25,48.18,0.07,-0.07,2555,724,829,28.73,32.89,-4.16,4.16,967,2520
"Cobb,Pine Mountain 01",Cobb,Pine Mountain 01,1779,1041,41,62.18,36.38,25.8,-25.8,2861,1827,974,63.99,34.11,29.88,-29.88,2855,1094,702,38.69,24.83,13.86,-13.86,1031,2827
"Cobb,Pine Mountain 02",Cobb,Pine Mountain 02,1750,859,29,66.33,32.56,33.77,-33.77,2638,1828,750,69.45,28.49,40.96,-40.96,2632,1108,564,42.33,21.55,20.78,-20.78,945,2617
"Cobb,Post Oak 01",Cobb,Post Oak 01,1680,1289,47,55.7,42.73,12.97,-12.97,3016,1748,1179,58.34,39.35,18.99,-18.99,2996,1041,835,35.05,28.11,6.94,-6.94,1094,2970
"Cobb,Pope 01",Cobb,Pope 01,1349,1173,53,52.38,45.55,6.83,-6.83,2575,1405,1100,54.73,42.85,11.88,-11.88,2567,799,783,31.41,30.79,0.62,-0.62,961,2543
"Cobb,Palmer 01",Cobb,Palmer 01,1138,859,57,55.4,41.82,13.58,-13.58,2054,1114,843,54.9,41.54,13.36,-13.36,2029,675,544,33.48,26.98,6.5,-6.5,797,2016
"Cobb,Powders Springs 1A",Cobb,Powders Springs 1A,987,2592,45,27.23,71.52,-44.29,44.29,3624,997,2488,27.77,69.3,-41.53,41.53,3590,603,1720,16.79,47.89,-31.1,31.1,1268,3591
"Cobb,Powders Springs 2A",Cobb,Powders Springs 2A,463,1806,36,20.08,78.35,-58.27,58.27,2305,454,1747,19.93,76.72,-56.79,56.79,2277,248,1196,10.88,52.47,-41.59,41.59,835,2279
"Cobb,Powders Springs 3A",Cobb,Powders Springs 3A,731,1972,33,26.71,72.07,-45.36,45.36,2736,703,1945,25.89,71.63,-45.74,45.74,2715,358,1332,13.19,49.09,-35.9,35.9,1023,2713
"Cobb,Pitner 01",Cobb,Pitner 01,1111,966,51,52.2,45.39,6.81,-6.81,2128,1119,929,52.85,43.88,8.97,-8.97,2117,669,641,31.78,30.45,1.33,-1.33,795,2105
"Cobb,Rocky Mount 01",Cobb,Rocky Mount 01,1441,1234,46,52.95,45.35,7.6,-7.6,2721,1503,1135,55.62,42,13.62,-13.62,2702,875,803,32.66,29.97,2.69,-2.69,1001,2679
"Cobb,Riverside 01",Cobb,Riverside 01,119,997,14,10.53,88.23,-77.7,77.7,1130,113,973,10.1,87.03,-76.93,76.93,1118,46,640,4.1,57.14,-53.04,53.04,434,1120
"Cobb,Roswell 01",Cobb,Roswell 01,2387,2141,61,52.01,46.65,5.36,-5.36,4589,2511,1952,55.12,42.85,12.27,-12.27,4555,1564,1538,34.49,33.92,0.57,-0.57,1432,4534
"Cobb,Roswell 02",Cobb,Roswell 02,1545,1518,54,49.56,48.7,0.86,-0.86,3117,1694,1343,54.68,43.35,11.33,-11.33,3098,982,1012,31.76,32.74,-0.98,0.98,1097,3091
"Cobb,Sandy Plains 01",Cobb,Sandy Plains 01,1117,1192,53,47.29,50.46,-3.17,3.17,2362,1125,1136,47.89,48.36,-0.47,0.47,2349,665,776,28.56,33.33,-4.77,4.77,887,2328
"Cobb,Shallowford Falls 01",Cobb,Shallowford Falls 01,1487,1294,55,52.43,45.62,6.81,-6.81,2836,1598,1176,56.32,41.45,14.87,-14.87,2837,913,894,32.38,31.71,0.67,-0.67,1012,2819
"Cobb,Simpson 01",Cobb,Simpson 01,738,756,22,48.68,49.86,-1.18,1.18,1516,779,687,51.86,45.73,6.13,-6.13,1502,463,499,31.17,33.6,-2.43,2.43,523,1485
"Cobb,Sewell Mill 01",Cobb,Sewell Mill 01,1334,1481,36,46.79,51.94,-5.15,5.15,2851,1402,1355,49.69,48.03,1.66,-1.66,2821,848,945,30.07,33.51,-3.44,3.44,1027,2820
"Cobb,Sewell Mill 03",Cobb,Sewell Mill 03,1249,1859,58,39.45,58.71,-19.26,19.26,3166,1273,1787,40.51,56.87,-16.36,16.36,3142,739,1184,23.54,37.71,-14.17,14.17,1216,3139
"Cobb,Smyrna 1A",Cobb,Smyrna 1A,554,1931,37,21.96,76.56,-54.6,54.6,2522,559,1873,22.33,74.83,-52.5,52.5,2503,293,1159,11.79,46.65,-34.86,34.86,1032,2484
"Cobb,Smyrna 2A",Cobb,Smyrna 2A,849,2791,67,22.9,75.28,-52.38,52.38,3707,855,2702,23.24,73.46,-50.22,50.22,3678,488,1726,13.35,47.22,-33.87,33.87,1441,3655
"Cobb,Smyrna 3A",Cobb,Smyrna 3A,925,2208,63,28.94,69.08,-40.14,40.14,3196,995,2094,31.29,65.86,-34.57,34.57,3179,600,1494,19.01,47.33,-28.32,28.32,1062,3156
"Cobb,Smyrna 3B",Cobb,Smyrna 3B,750,1166,38,38.38,59.67,-21.29,21.29,1954,771,1107,39.82,57.17,-17.35,17.35,1936,456,783,23.84,40.95,-17.11,17.11,673,1912
"Cobb,Smyrna 4A",Cobb,Smyrna 4A,1853,2815,93,38.92,59.12,-20.2,20.2,4761,2001,2628,42.19,55.41,-13.22,13.22,4742,1158,2041,24.57,43.3,-18.73,18.73,1514,4713
"Cobb,Smyrna 5A",Cobb,Smyrna 5A,811,2006,56,28.22,69.82,-41.6,41.6,2873,842,1910,29.55,67.04,-37.49,37.49,2849,473,1252,16.69,44.19,-27.5,27.5,1108,2833
"Cobb,Smyrna 6A",Cobb,Smyrna 6A,1706,2808,95,37.01,60.92,-23.91,23.91,4609,1840,2623,40.19,57.29,-17.1,17.1,4578,1091,1963,23.93,43.06,-19.13,19.13,1504,4558
"Cobb,Smyrna 7A",Cobb,Smyrna 7A,1367,3785,73,26.16,72.44,-46.28,46.28,5225,1511,3566,29.16,68.82,-39.66,39.66,5181,869,2747,16.75,52.96,-36.21,36.21,1570,5186
"Cobb,Sope Creek 01",Cobb,Sope Creek 01,970,835,37,52.66,45.33,7.33,-7.33,1842,1044,755,57.11,41.3,15.81,-15.81,1828,660,585,35.98,31.89,4.09,-4.09,589,1834
"Cobb,Sope Creek 02",Cobb,Sope Creek 02,1632,1963,68,44.55,53.58,-9.03,9.03,3663,1800,1765,49.45,48.48,0.97,-0.97,3640,1052,1277,29.1,35.32,-6.22,6.22,1286,3615
"Cobb,Sope Creek 03",Cobb,Sope Creek 03,1213,1089,21,52.21,46.87,5.34,-5.34,2323,1300,967,56.52,42.04,14.48,-14.48,2300,765,647,33.53,28.36,5.17,-5.17,869,2281
"Cobb,Sweetwater 01",Cobb,Sweetwater 01,867,1439,40,36.95,61.33,-24.38,24.38,2346,863,1413,37.15,60.82,-23.67,23.67,2323,479,987,20.74,42.74,-22,22,843,2309
"Cobb,Sweetwater 02",Cobb,Sweetwater 02,444,1517,28,22.32,76.26,-53.94,53.94,1989,431,1472,22.04,75.29,-53.25,53.25,1955,230,971,11.74,49.56,-37.82,37.82,758,1959
"Cobb,Terrell Mill 01",Cobb,Terrell Mill 01,1030,2477,62,28.85,69.4,-40.55,40.55,3569,1066,2365,30.07,66.73,-36.66,36.66,3544,621,1471,17.58,41.65,-24.07,24.07,1439,3531
"Cobb,Timber Ridge 01",Cobb,Timber Ridge 01,1025,1016,34,49.39,48.96,0.43,-0.43,2075,1130,910,54.53,43.91,10.62,-10.62,2072,687,720,33.49,35.1,-1.61,1.61,644,2051
"Cobb,Vaughan 01",Cobb,Vaughan 01,1630,877,59,63.52,34.17,29.35,-29.35,2566,1647,814,64.63,31.94,32.69,-32.69,2548,1056,573,41.72,22.63,19.09,-19.09,902,2531
"Cobb,Vinings 01",Cobb,Vinings 01,700,1598,40,29.94,68.34,-38.4,38.4,2338,733,1536,31.47,65.95,-34.48,34.48,2329,412,1051,17.8,45.41,-27.61,27.61,851,2314
"Cobb,Vinings 02",Cobb,Vinings 02,1441,2962,74,32.18,66.16,-33.98,33.98,4477,1512,2821,34.02,63.47,-29.45,29.45,4444,878,1914,19.86,43.3,-23.44,23.44,1628,4420
"Cobb,Vinings 03",Cobb,Vinings 03,1002,2236,32,30.64,68.37,-37.73,37.73,3270,1088,2092,33.59,64.58,-30.99,30.99,3239,626,1481,19.33,45.75,-26.42,26.42,1130,3237
"Cobb,Vinings 04",Cobb,Vinings 04,1296,1350,29,48.44,50.46,-2.02,2.02,2675,1423,1204,53.47,45.24,8.23,-8.23,2661,862,838,32.73,31.82,0.91,-0.91,933,2633
"Cobb,Wade Green 02",Cobb,Wade Green 02,1605,1859,70,45.41,52.6,-7.19,7.19,3534,1598,1803,45.55,51.39,-5.84,5.84,3508,951,1192,27.31,34.24,-6.93,6.93,1338,3481
"Cobb,Willeo 01",Cobb,Willeo 01,1270,1079,45,53.04,45.07,7.97,-7.97,2394,1356,983,56.76,41.14,15.62,-15.62,2389,842,776,35.57,32.78,2.79,-2.79,749,2367
"Coffee,Douglas",Coffee,Douglas,6510,3485,91,64.54,34.55,29.99,-29.99,10086,6436,3289,64.85,33.14,31.71,-31.71,9923,2694,1846,27.53,18.86,8.67,-8.67,5245,9785
"Coffee,Ambrose",Coffee,Ambrose,1104,264,6,80.34,19.21,61.13,-61.13,1374,1089,259,79.48,18.9,60.58,-60.58,1370,436,169,32.88,12.74,20.14,-20.14,721,1326
"Coffee,Bridgetown",Coffee,Bridgetown,190,60,3,75.09,23.71,51.38,-51.38,253,186,58,74.4,23.2,51.2,-51.2,250,87,42,35.51,17.14,18.37,-18.37,116,245
"Coffee,Broxton",Coffee,Broxton,1200,378,11,75.51,23.78,51.73,-51.73,1589,1177,365,75.15,23.3,51.85,-51.85,1566,508,221,33.33,14.5,18.83,-18.83,795,1524
"Coffee,Nicholls",Coffee,Nicholls,963,288,10,76.36,22.83,53.53,-53.53,1261,933,272,75.42,21.98,53.44,-53.44,1237,365,151,30.21,12.5,17.71,-17.71,692,1208
"Coffee,West Green",Coffee,West Green,611,36,4,93.85,5.52,88.33,-88.33,651,603,38,93.48,5.89,87.59,-87.59,645,234,26,36.9,4.1,32.8,-32.8,374,634
"Colquitt,Shaw",Colquitt,Shaw,429,1152,9,26.98,72.45,-45.47,45.47,1590,433,1097,27.82,70.5,-42.68,42.68,1556,203,805,13.08,51.9,-38.82,38.82,543,1551
"Colquitt,Moultrie",Colquitt,Moultrie,1799,1169,28,60.04,39.01,21.03,-21.03,2996,1797,1110,60.79,37.55,23.24,-23.24,2956,1058,667,36.07,22.74,13.33,-13.33,1208,2933
"Colquitt,Autreyville",Colquitt,Autreyville,746,202,8,78.03,21.12,56.91,-56.91,956,726,195,77.23,20.74,56.49,-56.49,940,389,102,41.55,10.89,30.66,-30.66,445,936
"Colquitt,Bridgecreek",Colquitt,Bridgecreek,795,99,2,88.72,11.04,77.68,-77.68,896,781,100,87.45,11.19,76.26,-76.26,893,440,61,49.21,6.82,42.39,-42.39,393,894
"Colquitt,Crosland",Colquitt,Crosland,137,51,0,72.87,27.12,45.75,-45.75,188,139,47,74.33,25.13,49.2,-49.2,187,83,31,46.11,17.22,28.89,-28.89,66,180
"Colquitt,Doerun",Colquitt,Doerun,294,140,3,67.27,32.03,35.24,-35.24,437,286,138,66.35,32.01,34.34,-34.34,431,164,85,38.58,20,18.58,-18.58,176,425
"Colquitt,Funston",Colquitt,Funston,613,107,10,83.97,14.65,69.32,-69.32,730,610,99,84.6,13.73,70.87,-70.87,721,341,63,47.62,8.79,38.83,-38.83,312,716
"Colquitt,Hamilton",Colquitt,Hamilton,512,55,4,89.66,9.63,80.03,-80.03,571,503,51,88.71,8.99,79.72,-79.72,567,255,37,45.37,6.58,38.79,-38.79,270,562
"Colquitt,Hartsfield",Colquitt,Hartsfield,291,27,2,90.93,8.43,82.5,-82.5,320,291,27,91.5,8.49,83.01,-83.01,318,163,19,51.91,6.05,45.86,-45.86,132,314
"Colquitt,Hopewell",Colquitt,Hopewell,971,187,14,82.84,15.95,66.89,-66.89,1172,971,165,83.56,14.19,69.37,-69.37,1162,564,96,48.66,8.28,40.38,-40.38,499,1159
"Colquitt,Lee",Colquitt,Lee,558,108,3,83.4,16.14,67.26,-67.26,669,556,103,83.35,15.44,67.91,-67.91,667,296,57,44.57,8.58,35.99,-35.99,311,664
"Colquitt,Millcreek",Colquitt,Millcreek,281,27,2,90.64,8.7,81.94,-81.94,310,274,26,89.83,8.52,81.31,-81.31,305,167,13,54.75,4.26,50.49,-50.49,125,305
"Colquitt,Monk",Colquitt,Monk,888,170,6,83.45,15.97,67.48,-67.48,1064,869,171,82.76,16.28,66.48,-66.48,1050,484,107,46.36,10.24,36.12,-36.12,453,1044
"Colquitt,Murphy",Colquitt,Murphy,676,96,6,86.88,12.33,74.55,-74.55,778,662,97,85.75,12.56,73.19,-73.19,772,368,60,48.04,7.83,40.21,-40.21,338,766
"Colquitt,Norman Park",Colquitt,Norman Park,1226,372,15,76,23.06,52.94,-52.94,1613,1209,366,75.56,22.87,52.69,-52.69,1600,683,218,43.17,13.78,29.39,-29.39,681,1582
"Colquitt,Robinson",Colquitt,Robinson,480,93,3,83.33,16.14,67.19,-67.19,576,470,85,82.31,14.88,67.43,-67.43,571,277,56,48.93,9.89,39.04,-39.04,233,566
"Colquitt,Thigpen",Colquitt,Thigpen,159,17,0,90.34,9.65,80.69,-80.69,176,158,14,91.32,8.09,83.23,-83.23,173,90,9,52.02,5.2,46.82,-46.82,74,173
"Colquitt,Tyty",Colquitt,Tyty,328,31,3,90.6,8.56,82.04,-82.04,362,328,26,91.11,7.22,83.89,-83.89,360,211,12,59.6,3.38,56.22,-56.22,131,354
"Colquitt,Warrior",Colquitt,Warrior,594,84,1,87.48,12.37,75.11,-75.11,679,581,73,87.76,11.02,76.74,-76.74,662,326,33,49.54,5.01,44.53,-44.53,299,658
"Columbia,Kiokee Baptist Church",Columbia,Kiokee Baptist Church,1782,295,23,84.85,14.04,70.81,-70.81,2100,1773,283,84.83,13.54,71.29,-71.29,2090,968,166,46.74,8.01,38.73,-38.73,937,2071
"Columbia,Lewis Methodist Church",Columbia,Lewis Methodist Church,1721,1116,57,59.46,38.56,20.9,-20.9,2894,1725,1078,59.97,37.48,22.49,-22.49,2876,995,634,34.85,22.2,12.65,-12.65,1226,2855
"Columbia,Woodlawn Baptist Church",Columbia,Woodlawn Baptist Church,726,275,11,71.73,27.17,44.56,-44.56,1012,718,264,71.58,26.32,45.26,-45.26,1003,438,162,43.75,16.18,27.57,-27.57,401,1001
"Columbia,Patriots Park",Columbia,Patriots Park,1834,1148,71,60.07,37.6,22.47,-22.47,3053,1879,1094,61.58,35.85,25.73,-25.73,3051,1075,679,35.44,22.38,13.06,-13.06,1279,3033
"Columbia,New Life Church",Columbia,New Life Church,1433,1692,85,44.64,52.71,-8.07,8.07,3210,1458,1596,45.89,50.23,-4.34,4.34,3177,764,911,24.31,28.99,-4.68,4.68,1467,3142
"Columbia,Harlem Branch Library",Columbia,Harlem Branch Library,1405,460,28,74.22,24.3,49.92,-49.92,1893,1384,441,73.73,23.49,50.24,-50.24,1877,735,253,39.43,13.57,25.86,-25.86,876,1864
"Columbia,Harlem Senior Center",Columbia,Harlem Senior Center,827,540,24,59.45,38.82,20.63,-20.63,1391,818,508,59.62,37.02,22.6,-22.6,1372,488,305,35.69,22.31,13.38,-13.38,574,1367
